method,n_samples,point_id,x,y,rating,parent_asin
pacmap,50000,0,-4.5899563,-0.82744867,3.0,B083NRGZMM
pacmap,50000,1,-4.172007,-0.5722563,1.0,B07N69T6TM
pacmap,50000,2,6.3745027,-14.27572,5.0,B01G8JO5F2
pacmap,50000,3,-1.5482432,9.651798,5.0,B001OC5JKY
pacmap,50000,4,4.555746,-14.464319,5.0,B07CJYMRWM
pacmap,50000,5,2.3937192,-12.995515,5.0,B07CML419K
pacmap,50000,6,5.4267116,-12.942148,5.0,B07BHHB5RH
pacmap,50000,7,5.1324797,-13.385679,5.0,B09S6Y5BRG
pacmap,50000,8,-8.348433,6.831748,5.0,B01LW71IBJ
pacmap,50000,9,2.989219,-1.8853836,5.0,B017T99JPG
pacmap,50000,10,2.1488378,-3.9758608,1.0,B00L0YLRUW
pacmap,50000,11,-6.5682178,4.009443,3.0,B01HHURN3W
pacmap,50000,12,5.470458,-14.495968,5.0,B004S2JX7W
pacmap,50000,13,2.983629,-11.441463,3.0,B0047T79VS
pacmap,50000,14,-3.280225,4.177236,5.0,B00IXNUDG2
pacmap,50000,15,2.1853998,-3.9578652,5.0,B00PVCXB4Y
pacmap,50000,16,1.1995499,-5.6364326,5.0,B00X5C22SS
pacmap,50000,17,0.76634747,8.430976,5.0,B0BKQZGST4
pacmap,50000,18,-3.7694106,8.196116,5.0,B01LQF8B7G
pacmap,50000,19,-5.874288,3.7273,4.0,B075X8471B
pacmap,50000,20,-1.4074434,3.154514,5.0,B0B2DLVCF3
pacmap,50000,21,5.449276,-4.6699033,5.0,B0199HAOAU
pacmap,50000,22,-0.2121114,-0.4574015,5.0,B0093162RM
pacmap,50000,23,7.8527093,-3.337203,5.0,B07FCZY1ZB
pacmap,50000,24,4.366871,-11.455196,5.0,B00RH29CJO
pacmap,50000,25,-0.58419144,9.811132,5.0,B08P3VMW76
pacmap,50000,26,1.0239253,6.7807417,5.0,B013KPXNSW
pacmap,50000,27,1.503267,-6.6015472,4.0,B0862W5BQ8
pacmap,50000,28,2.683657,-4.2516413,5.0,B004XC6GJ0
pacmap,50000,29,3.5230443,-1.6471883,5.0,B0BNX9QVXZ
pacmap,50000,30,4.4952435,-13.0792465,5.0,B0BN534JBB
pacmap,50000,31,5.024635,-11.671984,5.0,B08X4R1T16
pacmap,50000,32,3.329159,-12.049576,5.0,B08932J7NC
pacmap,50000,33,-4.4222665,4.9024363,5.0,B078LLS33F
pacmap,50000,34,7.3478,-6.3606925,5.0,B00V3KLZSW
pacmap,50000,35,2.5810828,2.3085833,5.0,B012ASFKOU
pacmap,50000,36,2.8193862,-3.933613,4.0,B001FWYGJS
pacmap,50000,37,3.398386,1.8737512,5.0,B08YP2F6VG
pacmap,50000,38,5.5704722,-2.2067387,5.0,B0C8HDXFXN
pacmap,50000,39,6.459135,-5.5677567,5.0,B00RBGYGPG
pacmap,50000,40,-1.3919219,3.579895,5.0,B007EVDJV0
pacmap,50000,41,5.5203447,0.46218008,5.0,B00KLZLBCK
pacmap,50000,42,-2.6211445,5.9551973,5.0,B09NHSGWPD
pacmap,50000,43,-5.921926,4.888064,1.0,B095KHWNLK
pacmap,50000,44,9.685964,-3.4943068,5.0,B08BRJ98H3
pacmap,50000,45,-3.6130106,5.3187256,5.0,B08912RRG5
pacmap,50000,46,8.401257,-6.2461324,5.0,B07GVWH35S
pacmap,50000,47,0.89634883,7.2445498,5.0,B06VTQK7CB
pacmap,50000,48,-2.7504492,7.671502,1.0,B0776DSP7Y
pacmap,50000,49,-5.1313143,13.633222,2.0,B00NWXM5U0
pacmap,50000,50,0.12166492,1.504709,5.0,B01DDIAX1Q
pacmap,50000,51,3.684072,0.36844712,2.0,B00L49X8E6
pacmap,50000,52,4.2039433,-14.15622,5.0,B09HDZ8FQY
pacmap,50000,53,2.4100664,8.89088,5.0,B00PQBDQPO
pacmap,50000,54,1.6917263,-11.403215,5.0,B00CRF9V2O
pacmap,50000,55,1.6801977,-12.093333,5.0,B00BHC7ZTE
pacmap,50000,56,-1.7978306,2.8170354,4.0,B00852JEPW
pacmap,50000,57,-2.3674524,-2.3608866,2.0,B09ZTXZ1MQ
pacmap,50000,58,3.1872003,-11.27327,5.0,B09MYGF318
pacmap,50000,59,0.71111923,6.6502314,1.0,B07VV6TT69
pacmap,50000,60,-2.374095,5.3553486,5.0,B07BRHB8C1
pacmap,50000,61,-8.583512,3.9911578,5.0,B07Z6BPJXQ
pacmap,50000,62,-5.040337,6.386852,4.0,B083YHS7SV
pacmap,50000,63,-5.5098166,7.8101635,5.0,B0046EDOWW
pacmap,50000,64,-16.287409,19.89459,5.0,B0045DT3A6
pacmap,50000,65,7.550574,-14.049308,5.0,B09DSSQ52Q
pacmap,50000,66,4.5185113,5.837093,3.0,B07H3PN7K3
pacmap,50000,67,-5.788857,9.465295,5.0,B0733GXPYZ
pacmap,50000,68,-1.4129544,2.6278465,2.0,B07TPLH5YK
pacmap,50000,69,0.91522425,-5.9032116,2.0,B07FPQ343D
pacmap,50000,70,4.953683,9.656908,5.0,B00VKIY9RG
pacmap,50000,71,0.9004647,7.7224126,5.0,B07BJ8KD6X
pacmap,50000,72,3.1218543,-12.121103,1.0,B0061F6QUG
pacmap,50000,73,1.9345839,-6.523161,5.0,B09DRXBKVG
pacmap,50000,74,3.9049652,-11.085821,5.0,B09TB71VLY
pacmap,50000,75,7.041402,-5.291388,5.0,B002N3MM6W
pacmap,50000,76,-7.0619507,6.737652,5.0,B07KTYJ769
pacmap,50000,77,-8.7376175,10.867012,5.0,B07PGL2N7J
pacmap,50000,78,3.7692027,-8.451093,5.0,B07J2GSF3S
pacmap,50000,79,3.5179245,-8.794415,3.0,B07Z9QXZMW
pacmap,50000,80,-5.8433576,4.649751,4.0,B07Q585X37
pacmap,50000,81,-5.538952,5.11923,4.0,B07P97SHQP
pacmap,50000,82,3.3924458,-9.176974,5.0,B07B3TX6MF
pacmap,50000,83,0.44053215,-1.0143249,4.0,B07WPY2W4Y
pacmap,50000,84,0.49939737,1.0637156,4.0,B083Z3QCY6
pacmap,50000,85,-2.0236387,3.741668,4.0,B07F71KFMQ
pacmap,50000,86,3.2228458,-0.30176073,4.0,B07547WSQQ
pacmap,50000,87,-6.191633,5.286287,4.0,B07P7KG4TJ
pacmap,50000,88,5.705061,-0.010298422,4.0,B01LYC6A8M
pacmap,50000,89,5.4482365,0.4830511,5.0,B0B2Y5WYRG
pacmap,50000,90,4.9206915,0.05584155,5.0,B08KG14KCT
pacmap,50000,91,4.7444572,-0.67507935,5.0,B09FF1RNDT
pacmap,50000,92,-6.8718762,6.294194,3.0,B00FGI4C14
pacmap,50000,93,-6.7180505,5.9252048,3.0,B07B4BF3KT
pacmap,50000,94,-7.39236,3.3819664,5.0,B08XBLP2V8
