label,point_id,score,x,y,rating,parent_asin
1,23235,27.056096668824946,-24.795252,7.549758,5.0,B00OQVZDJM
2,49583,26.560419543426356,-19.604374,16.721796,5.0,B0BG4NT7KZ
3,11187,26.323236767472057,-16.288261,19.911135,5.0,B00HAZOSWY
4,28734,26.246234173639024,-24.720678,3.9423835,5.0,B08XXXRL3J
5,26573,25.720938318130205,-14.069788,20.945665,5.0,B08DLV5BJF
6,26301,25.438199993094226,-20.986849,12.615894,5.0,B00YMMZWJ6
7,37123,25.080269377402086,-10.660099,22.361118,5.0,B07SR33GFN
8,32949,24.3467399242007,-7.7887726,22.898972,5.0,B07Q3JKJMF
9,29682,24.241548958102825,-5.383772,23.610958,5.0,B07J24QM66
10,2604,24.20330952636381,-22.359545,-4.930086,5.0,B07Q38S8HD
