method,n_samples,point_id,x,y,rating,parent_asin
pca,10000,0,-0.24001196,0.03728965,3.0,B083NRGZMM
pca,10000,1,0.081587955,-0.1315691,1.0,B07N69T6TM
pca,10000,2,-0.369077,0.10318886,5.0,B01G8JO5F2
pca,10000,3,-0.28185987,0.39664876,5.0,B001OC5JKY
pca,10000,4,-0.20253661,-0.13010795,5.0,B07CJYMRWM
pca,10000,5,-0.27115482,0.10308302,5.0,B07CML419K
pca,10000,6,-0.09202342,-0.23413481,5.0,B07BHHB5RH
pca,10000,7,-0.36091563,-0.25404903,5.0,B09S6Y5BRG
pca,10000,8,0.22027527,0.07991001,5.0,B01LW71IBJ
pca,10000,9,-0.023911875,-0.16987573,5.0,B017T99JPG
pca,10000,10,-0.16617393,-0.2623296,1.0,B00L0YLRUW
pca,10000,11,0.13658795,-0.0742373,3.0,B01HHURN3W
pca,10000,12,-0.14227813,-0.12184814,5.0,B004S2JX7W
pca,10000,13,0.03811738,-0.18691866,3.0,B0047T79VS
pca,10000,14,0.116036035,-0.012393732,5.0,B00IXNUDG2
pca,10000,15,0.026342053,-0.24066381,5.0,B00PVCXB4Y
pca,10000,16,-0.06398533,-0.14829846,5.0,B00X5C22SS
pca,10000,17,-0.20930059,0.26971474,5.0,B0BKQZGST4
pca,10000,18,0.2830219,0.29023817,5.0,B01LQF8B7G
pca,10000,19,0.2538871,0.1221452,4.0,B075X8471B
pca,10000,20,0.052205548,0.023297915,5.0,B0B2DLVCF3
pca,10000,21,-0.09816121,-0.12889548,5.0,B0199HAOAU
pca,10000,22,0.06761019,-0.111045636,5.0,B0093162RM
pca,10000,23,-0.23804793,-0.19294861,5.0,B07FCZY1ZB
pca,10000,24,-0.031531904,-0.21525846,5.0,B00RH29CJO
pca,10000,25,-0.20603691,0.38171467,5.0,B08P3VMW76
pca,10000,26,0.013104568,0.21475726,5.0,B013KPXNSW
pca,10000,27,-0.0732248,-0.07586867,4.0,B0862W5BQ8
pca,10000,28,0.030456109,-0.22666126,5.0,B004XC6GJ0
pca,10000,29,-0.1031041,0.09063617,5.0,B0BNX9QVXZ
pca,10000,30,-0.18070334,-0.18867767,5.0,B0BN534JBB
pca,10000,31,-0.2745986,0.12634696,5.0,B08X4R1T16
pca,10000,32,-0.1869853,-0.30026883,5.0,B08932J7NC
pca,10000,33,0.08950807,-0.08830802,5.0,B078LLS33F
pca,10000,34,-0.15701278,0.11362659,5.0,B00V3KLZSW
pca,10000,35,-0.08800184,0.0085337255,5.0,B012ASFKOU
pca,10000,36,0.019484406,-0.24666983,4.0,B001FWYGJS
pca,10000,37,-0.10436654,0.20224573,5.0,B08YP2F6VG
pca,10000,38,-0.0056593437,-0.18403399,5.0,B0C8HDXFXN
pca,10000,39,0.05900121,-0.14556679,5.0,B00RBGYGPG
pca,10000,40,-0.02975345,-0.016934827,5.0,B007EVDJV0
pca,10000,41,0.11100562,-0.022930901,5.0,B00KLZLBCK
pca,10000,42,-0.013691448,0.25373992,5.0,B09NHSGWPD
pca,10000,43,0.31084386,0.06803488,1.0,B095KHWNLK
pca,10000,44,0.010589983,-0.027742464,5.0,B08BRJ98H3
pca,10000,45,0.066202976,0.0480723,5.0,B08912RRG5
pca,10000,46,-0.09309822,-0.12025428,5.0,B07GVWH35S
pca,10000,47,-0.18491893,0.40250102,5.0,B06VTQK7CB
pca,10000,48,0.17855969,0.18451266,1.0,B0776DSP7Y
pca,10000,49,0.07526529,0.029080091,2.0,B00NWXM5U0
pca,10000,50,0.23772568,-0.1956526,5.0,B01DDIAX1Q
pca,10000,51,0.082248196,-0.038404174,2.0,B00L49X8E6
pca,10000,52,-0.1376759,-0.10067139,5.0,B09HDZ8FQY
pca,10000,53,-0.112648055,0.40665978,5.0,B00PQBDQPO
pca,10000,54,-0.039193664,-0.21448867,5.0,B00CRF9V2O
pca,10000,55,0.08055561,-0.25840726,5.0,B00BHC7ZTE
pca,10000,56,0.04681952,-0.008962484,4.0,B00852JEPW
pca,10000,57,-0.01520646,-0.014236261,2.0,B09ZTXZ1MQ
pca,10000,58,-0.01908046,-0.19240342,5.0,B09MYGF318
pca,10000,59,-0.08776225,0.047358595,1.0,B07VV6TT69
pca,10000,60,-0.05120817,0.12084795,5.0,B07BRHB8C1
pca,10000,61,0.28471732,-0.1706525,5.0,B07Z6BPJXQ
pca,10000,62,0.0942169,0.28553686,4.0,B083YHS7SV
pca,10000,63,0.24926755,0.033851065,5.0,B0046EDOWW
pca,10000,64,0.4672721,0.015291579,5.0,B0045DT3A6
pca,10000,65,-0.2844592,0.3661054,5.0,B09DSSQ52Q
pca,10000,66,-0.0102562625,0.12598476,3.0,B07H3PN7K3
pca,10000,67,0.22421305,0.07126486,5.0,B0733GXPYZ
pca,10000,68,-0.12475458,0.118054084,2.0,B07TPLH5YK
pca,10000,69,0.1315816,-0.20416899,2.0,B07FPQ343D
pca,10000,70,0.002023412,0.27309757,5.0,B00VKIY9RG
pca,10000,71,0.03500404,0.41094515,5.0,B07BJ8KD6X
pca,10000,72,0.088452965,-0.3193487,1.0,B0061F6QUG
pca,10000,73,-0.061890393,-0.3773957,5.0,B09DRXBKVG
pca,10000,74,-0.017875522,0.03206387,5.0,B09TB71VLY
pca,10000,75,-0.030875731,-0.14698863,5.0,B002N3MM6W
pca,10000,76,0.25769472,0.07049179,5.0,B07KTYJ769
pca,10000,77,0.42747423,0.14216134,5.0,B07PGL2N7J
pca,10000,78,0.08562743,-0.14009777,5.0,B07J2GSF3S
pca,10000,79,0.08114286,-0.077456005,3.0,B07Z9QXZMW
pca,10000,80,0.1598699,0.021708513,4.0,B07Q585X37
pca,10000,81,0.08634441,0.001427928,4.0,B07P97SHQP
pca,10000,82,-0.024193957,-0.111364864,5.0,B07B3TX6MF
