method,n_samples,point_id,x,y,rating,parent_asin
umap,10000,0,-2.219382,2.5310082,3.0,B083NRGZMM
umap,10000,1,3.5914617,0.49506906,1.0,B07N69T6TM
umap,10000,2,0.14560618,-5.396262,5.0,B01G8JO5F2
umap,10000,3,-1.2488602,5.003223,5.0,B001OC5JKY
umap,10000,4,0.22018068,-4.957608,5.0,B07CJYMRWM
umap,10000,5,-0.3920376,-3.6888013,5.0,B07CML419K
umap,10000,6,0.41328755,-5.076004,5.0,B07BHHB5RH
umap,10000,7,-0.059277326,-4.9113007,5.0,B09S6Y5BRG
umap,10000,8,4.513792,1.6334265,5.0,B01LW71IBJ
umap,10000,9,-0.6070576,-3.3108716,5.0,B017T99JPG
umap,10000,10,-3.3747404,-1.6544169,1.0,B00L0YLRUW
umap,10000,11,2.9503112,1.2643529,3.0,B01HHURN3W
umap,10000,12,0.29348958,-5.442613,5.0,B004S2JX7W
umap,10000,13,-0.14080352,-3.6521964,3.0,B0047T79VS
umap,10000,14,3.6542153,0.46561596,5.0,B00IXNUDG2
umap,10000,15,-3.2057161,-1.7288749,5.0,B00PVCXB4Y
umap,10000,16,-1.4794234,-1.7657804,5.0,B00X5C22SS
umap,10000,17,0.10075997,4.265531,5.0,B0BKQZGST4
umap,10000,18,2.4808624,3.8580263,5.0,B01LQF8B7G
umap,10000,19,2.3153284,0.9068558,4.0,B075X8471B
umap,10000,20,0.9590953,1.2826165,5.0,B0B2DLVCF3
umap,10000,21,0.66031307,-2.1112895,5.0,B0199HAOAU
umap,10000,22,-2.787204,0.07602986,5.0,B0093162RM
umap,10000,23,0.5796191,-1.5088843,5.0,B07FCZY1ZB
umap,10000,24,-0.17869604,-3.7195637,5.0,B00RH29CJO
umap,10000,25,-0.99808955,4.1124907,5.0,B08P3VMW76
umap,10000,26,-0.25604007,4.6726537,5.0,B013KPXNSW
umap,10000,27,-1.4312228,-1.8780936,4.0,B0862W5BQ8
umap,10000,28,-3.3556185,-1.2032177,5.0,B004XC6GJ0
umap,10000,29,-0.39863786,-0.79165953,5.0,B0BNX9QVXZ
umap,10000,30,0.16693886,-4.516556,5.0,B0BN534JBB
umap,10000,31,0.5360247,-5.0447392,5.0,B08X4R1T16
umap,10000,32,-0.61867774,-4.0762606,5.0,B08932J7NC
umap,10000,33,-0.40374434,-4.6139135,5.0,B078LLS33F
umap,10000,34,2.6903918,-1.2600521,5.0,B00V3KLZSW
umap,10000,35,4.0898676,-1.3429251,5.0,B012ASFKOU
umap,10000,36,-3.1062093,-1.5167034,4.0,B001FWYGJS
umap,10000,37,4.246793,-1.5005041,5.0,B08YP2F6VG
umap,10000,38,0.43053854,-1.2755586,5.0,B0C8HDXFXN
umap,10000,39,1.6408277,-2.3413658,5.0,B00RBGYGPG
umap,10000,40,-1.3196622,3.1900089,5.0,B007EVDJV0
umap,10000,41,-0.5499946,0.4549079,5.0,B00KLZLBCK
umap,10000,42,3.0982132,3.811973,5.0,B09NHSGWPD
umap,10000,43,4.5067725,0.85101587,1.0,B095KHWNLK
umap,10000,44,1.8859156,-0.9988142,5.0,B08BRJ98H3
umap,10000,45,3.6946676,0.02359775,5.0,B08912RRG5
umap,10000,46,2.316836,-1.9820821,5.0,B07GVWH35S
umap,10000,47,-0.34593228,4.6850677,5.0,B06VTQK7CB
umap,10000,48,2.769143,1.15555,1.0,B0776DSP7Y
umap,10000,49,2.9588275,-4.8421726,2.0,B00NWXM5U0
umap,10000,50,1.5483177,1.0364332,5.0,B01DDIAX1Q
umap,10000,51,0.301655,0.68492496,2.0,B00L49X8E6
umap,10000,52,0.17895618,-4.634151,5.0,B09HDZ8FQY
umap,10000,53,0.5333382,4.3575907,5.0,B00PQBDQPO
umap,10000,54,-1.2549471,-3.9032793,5.0,B00CRF9V2O
umap,10000,55,-0.66725785,-3.983404,5.0,B00BHC7ZTE
umap,10000,56,0.31991082,1.4003912,4.0,B00852JEPW
umap,10000,57,-2.815311,1.2858678,2.0,B09ZTXZ1MQ
umap,10000,58,-0.90768015,-4.2960377,5.0,B09MYGF318
umap,10000,59,0.370217,2.884496,1.0,B07VV6TT69
umap,10000,60,2.1573882,0.061961588,5.0,B07BRHB8C1
umap,10000,61,3.2272,1.5450184,5.0,B07Z6BPJXQ
umap,10000,62,2.8407707,2.5088003,4.0,B083YHS7SV
umap,10000,63,6.646561,3.7737365,5.0,B0046EDOWW
umap,10000,64,7.9228206,3.2534938,5.0,B0045DT3A6
umap,10000,65,0.4404312,3.9139318,5.0,B09DSSQ52Q
umap,10000,66,0.13970634,2.0010784,3.0,B07H3PN7K3
umap,10000,67,4.0328774,2.9008102,5.0,B0733GXPYZ
umap,10000,68,-1.4262614,0.07137418,2.0,B07TPLH5YK
umap,10000,69,-1.4352294,-1.4156623,2.0,B07FPQ343D
umap,10000,70,1.3939179,3.3460553,5.0,B00VKIY9RG
umap,10000,71,-0.29162234,4.565441,5.0,B07BJ8KD6X
umap,10000,72,-0.18581624,-3.8764613,1.0,B0061F6QUG
umap,10000,73,-1.9953166,-2.0884397,5.0,B09DRXBKVG
umap,10000,74,-0.78562367,-3.759807,5.0,B09TB71VLY
umap,10000,75,1.6442682,0.88987404,5.0,B002N3MM6W
umap,10000,76,4.62556,1.9802489,5.0,B07KTYJ769
umap,10000,77,7.5763884,4.364618,5.0,B07PGL2N7J
umap,10000,78,-1.6514899,-3.040329,5.0,B07J2GSF3S
umap,10000,79,-1.5711136,-3.0310574,3.0,B07Z9QXZMW
umap,10000,80,2.1320064,2.850478,4.0,B07Q585X37
umap,10000,81,2.059868,3.027148,4.0,B07P97SHQP
umap,10000,82,-1.7323495,-3.1015742,5.0,B07B3TX6MF
umap,10000,83,1.9065918,0.96180487,4.0,B07WPY2W4Y
umap,10000,84,1.4420758,1.0477823,4.0,B083Z3QCY6
umap,10000,85,0.480588,1.622035,4.0,B07F71KFMQ
umap,10000,86,3.5255914,2.6215165,4.0,B07547WSQQ
umap,10000,87,3.4545264,0.92746013,4.0,B07P7KG4TJ
umap,10000,88,-0.39373383,0.1507084,4.0,B01LYC6A8M
umap,10000,89,-0.48969376,0.42984623,5.0,B0B2Y5WYRG
umap,10000,90,1.0350986,0.948898,5.0,B08KG14KCT
umap,10000,91,1.1504184,0.9451771,5.0,B09FF1RNDT
umap,10000,92,3.5698352,2.453753,3.0,B00FGI4C14
umap,10000,93,3.5673068,2.1041896,3.0,B07B4BF3KT
umap,10000,94,2.871607,1.3136564,5.0,B08XBLP2V8
umap,10000,95,3.1478698,1.4841415,5.0,B018S7DPU8
umap,10000,96,2.0541453,1.486476,5.0,B00MYU0E0K
umap,10000,97,-0.28865412,0.4502446,5.0,B000Q85WOK
umap,10000,98,2.939936,2.02294,5.0,B01KWY71BO
umap,10000,99,1.869832,2.2238247,4.0,B008I64LC6
umap,10000,100,3.3443434,1.6296089,5.0,B079Y46M3N
umap,10000,101,-2.3164814,1.5307363,3.0,B01MZ45YUU
umap,10000,102,-2.2890468,1.7452325,5.0,B074V4CWFD
umap,10000,103,2.7766435,1.655244,3.0,B0083J8DFY
umap,10000,104,0.546746,-2.191057,5.0,B09N7SXX1X
umap,10000,105,1.0920733,4.0915966,5.0,B00X4XEBTQ
umap,10000,106,3.2792923,1.589786,4.0,B001CJOLBW
umap,10000,107,3.7160234,1.4117628,5.0,B0032FOKME
umap,10000,108,-3.3419604,-1.5200145,5.0,B002WBX7TQ
umap,10000,109,-0.4078095,-1.8808093,4.0,B07CB22VVJ
umap,10000,110,-0.4616915,-1.7010627,4.0,B0002MQGK4
umap,10000,111,-0.6222583,-1.5809944,4.0,B0092TGP4A
umap,10000,112,0.51484805,-0.71761394,5.0,B00552PA7G
umap,10000,113,0.7472037,-2.3144908,5.0,B07CDCX945
umap,10000,114,-0.24674541,-1.7925665,4.0,B07BYZBG2X
umap,10000,115,3.161677,1.9287121,5.0,B07CBLV151
umap,10000,116,0.75407004,-2.25764,3.0,B000SJ2TJ8
umap,10000,117,-0.6729149,-0.5619992,5.0,B003UT2C4U
umap,10000,118,3.212701,1.9144696,5.0,B084JBVY4S
umap,10000,119,3.699835,2.931973,5.0,B0075VFKI4
umap,10000,120,3.9248643,1.9589367,5.0,B009RUZ7TS
umap,10000,121,-2.5484645,1.4721065,5.0,B071CMGRLL
umap,10000,122,1.6356939,-0.46926096,3.0,B006ZZXVCI
umap,10000,123,3.642397,2.884323,5.0,B01DFKC6CQ
umap,10000,124,3.689971,2.8956351,5.0,B07P9W1SMH
umap,10000,125,3.9914622,2.8940516,5.0,B01M3ULMWP
umap,10000,126,2.6408496,3.0263047,1.0,B071HXSW4Y
umap,10000,127,4.221838,3.7716203,5.0,B0CCDMQZM7
umap,10000,128,1.1788056,4.1162705,1.0,B005HSG31K
umap,10000,129,0.16224222,4.1453223,3.0,B00D2J8558
umap,10000,130,3.896974,-0.04556913,1.0,B0BFHVDPTG
umap,10000,131,5.1228137,3.783862,5.0,B08N4M55K5
umap,10000,132,-1.463286,-1.2198528,5.0,B0945WPX5W
umap,10000,133,0.34306625,-5.4460096,5.0,B09K7K5J3N
umap,10000,134,-0.12887515,-3.5740411,4.0,B084ZJFNKN
umap,10000,135,-1.2050517,-4.1530695,5.0,B0B3T4JWN9
umap,10000,136,0.13430916,-5.3014474,4.0,B07S5JVP78
umap,10000,137,-1.1316175,-4.112338,5.0,B0935ZDCYD
umap,10000,138,0.6594349,2.782332,5.0,B075LX7S6B
umap,10000,139,4.066783,2.0139906,5.0,B001L5SN5M
umap,10000,140,0.24256851,4.5049,5.0,B000WOIFO2
umap,10000,141,0.16132322,-5.364059,5.0,B00365EB3I
umap,10000,142,1.5292572,1.9536316,4.0,B07XZ1YDKP
umap,10000,143,2.0080278,-1.1070867,1.0,B09CD8GVY5
umap,10000,144,-2.5510347,1.2009829,1.0,B09V28P31X
umap,10000,145,-1.996981,1.7163856,5.0,B01D0PVYH4
umap,10000,146,-0.43603417,-4.3663197,5.0,B017SJKHIK
umap,10000,147,3.4661167,0.49778587,5.0,B0BWNQZT64
umap,10000,148,2.8381515,0.86195457,5.0,B08F9ZCTCL
umap,10000,149,0.9732905,3.4761264,5.0,B08F9NJMW7
umap,10000,150,0.22891079,-5.258769,5.0,B01L2VGEQE
umap,10000,151,-1.1104175,-4.052103,5.0,B0BW4PFM58
umap,10000,152,7.7171226,2.5930855,1.0,B00MNB1OD6
umap,10000,153,3.189172,3.8755903,5.0,B00TIRFCXQ
umap,10000,154,-0.5500928,-1.7562087,4.0,B08N51H3LB
umap,10000,155,1.9126506,1.7372518,5.0,B09KRX2QJC
umap,10000,156,0.28039724,3.1119714,5.0,B09V28Y3HH
umap,10000,157,1.4136771,-2.4967868,5.0,B0C5XK6534
umap,10000,158,3.3671374,0.6402248,4.0,B0BTHV3YSV
umap,10000,159,2.451709,-1.1588151,5.0,B0BRKGSJKH
umap,10000,160,2.378012,4.0639653,5.0,B00JQZJ4OS
umap,10000,161,4.8152747,3.5392382,5.0,B08BJWB991
umap,10000,162,2.1429465,-1.2761079,5.0,B09JNRLN4W
umap,10000,163,1.1347581,4.147709,5.0,B07HHY1MWS
umap,10000,164,-2.0383096,1.586256,4.0,B00IYM0Y2A
umap,10000,165,1.1534832,4.1058106,5.0,B01HNL545Y
umap,10000,166,2.6047692,3.735884,5.0,B08RJJ97VW
umap,10000,167,8.702773,5.6872425,5.0,B01KXHYDXO
umap,10000,168,2.409136,4.027496,2.0,B071KJ97ZL
umap,10000,169,2.3561332,4.032327,1.0,B07QWP1RYY
umap,10000,170,3.2431273,1.4388809,5.0,B0772SXNSC
umap,10000,171,2.8002594,2.2513475,3.0,B08W69YRFB
umap,10000,172,5.396074,3.2363675,5.0,B073J9QWKY
umap,10000,173,5.407571,3.2267382,5.0,B073M1NGHJ
umap,10000,174,1.5001987,2.2078745,5.0,B0B8N1CQD1
umap,10000,175,-2.7395315,-1.5979406,5.0,B085XZGVN5
umap,10000,176,-2.0374463,-2.403346,4.0,B09GV31691
umap,10000,177,0.99501806,3.1149173,4.0,B09KPLV3WD
umap,10000,178,-3.631017,1.4151818,5.0,B093YD69JB
umap,10000,179,-0.35132968,0.44466686,5.0,B09KM3BZSS
umap,10000,180,-0.11602355,-3.8065152,2.0,B0992TJFM3
umap,10000,181,-1.5186099,-4.0732207,3.0,B07ZWCTNJH
umap,10000,182,-1.7385333,-3.9918692,5.0,B07VKFSLKN
umap,10000,183,-1.737945,-3.995476,5.0,B00MJ1YR8Y
umap,10000,184,-0.017530493,1.5430111,4.0,B08ZZYS2P3
umap,10000,185,-1.0724529,-4.75088,5.0,B007JYZ3BG
umap,10000,186,-2.2391443,1.4271809,1.0,B08L1N8TG9
umap,10000,187,-2.5367177,0.24908726,5.0,B07G95FFN3
umap,10000,188,7.4798427,4.303038,5.0,B083WD2J3F
umap,10000,189,3.0980918,-4.9483247,3.0,B08TTVLTWT
umap,10000,190,2.6548548,3.5143626,5.0,B095KG3VZG
umap,10000,191,-0.11604236,0.7028305,4.0,B088DJQ2PQ
umap,10000,192,3.0989738,0.84370065,1.0,B00UVSJU4S
umap,10000,193,5.057265,4.426271,5.0,B0BJ13Q5JG
umap,10000,194,4.349929,-1.6274267,5.0,B07QQPH27F
umap,10000,195,-2.8147602,0.12758057,5.0,B00PYG7LH0
umap,10000,196,-0.5339848,-4.538128,5.0,B07S764D9V
umap,10000,197,-1.0119568,-1.5358819,5.0,B071WRSYML
umap,10000,198,0.37382373,4.931825,5.0,B00BKX75YA
umap,10000,199,0.37050575,4.834882,4.0,B09FN58JBR
umap,10000,200,-0.4741612,0.2521422,5.0,B0032GU1LW
umap,10000,201,0.41435462,-5.379827,3.0,B0B9HR3T4B
umap,10000,202,-1.0690544,-3.7975893,5.0,B07LC6VRD6
umap,10000,203,1.0284632,1.03707,4.0,B01KUEGE1E
umap,10000,204,5.419025,1.5277077,5.0,B08KGQHF67
umap,10000,205,2.7723687,-1.5267986,5.0,B0C9DP86HZ
umap,10000,206,1.3889905,1.8179741,5.0,B089W47DTX
umap,10000,207,6.1555204,-1.7391282,5.0,B00EQ94566
umap,10000,208,-0.2696485,4.152665,5.0,B07SPFR8VB
umap,10000,209,-0.55051714,0.3349324,5.0,B00KQQK87S
umap,10000,210,-3.516735,-3.567532,5.0,B07KTYJ769
umap,10000,211,-1.8700068,-1.5257558,3.0,B06X95BTH4
umap,10000,212,3.2367802,2.0100095,5.0,B005L38VRU
umap,10000,213,-1.3770239,-4.3986354,5.0,B00V3CSE4I
umap,10000,214,-1.6583961,-1.717614,3.0,B003MVYTBU
umap,10000,215,4.7686505,3.5458064,5.0,B006R9O2PC
umap,10000,216,5.2188687,3.7113836,5.0,B00D8XNU6C
umap,10000,217,-2.1509843,-2.9116569,5.0,B00E0ISVLI
umap,10000,218,2.082303,0.5529147,5.0,B08HC6J3H1
umap,10000,219,1.2342114,2.9091501,3.0,B07RJZPTLX
umap,10000,220,-1.3220987,5.321234,5.0,B09DTP4L96
umap,10000,221,1.5328183,2.760161,5.0,B004M5MVNS
umap,10000,222,0.24743098,4.092115,5.0,B008I636D6
umap,10000,223,2.9641342,1.1748028,1.0,B072LX4LTV
umap,10000,224,-0.53433734,2.5896668,5.0,B0068LWHPQ
umap,10000,225,1.8396561,-1.2037636,5.0,B08JYY4FDG
umap,10000,226,-0.4711052,-3.8059938,1.0,B09Q5BNT76
umap,10000,227,4.8661633,1.5972891,5.0,B08FRLCF2W
umap,10000,228,-0.68812346,-3.9686635,3.0,B09Q5BNT76
umap,10000,229,10.123068,5.8204556,1.0,B07FP8VLXS
umap,10000,230,-0.0590977,4.094967,1.0,B09GLQ2PFV
umap,10000,231,2.8032925,1.1689644,1.0,B09KTMJVJW
umap,10000,232,-0.5986042,-4.5297008,4.0,B08PNW6WGX
umap,10000,233,-2.592075,-2.032837,5.0,B0791TX5P5
umap,10000,234,6.4874153,3.484694,5.0,B07VYM342S
umap,10000,235,0.27694294,-4.786867,2.0,B00IYA2SMQ
umap,10000,236,0.67218184,-5.3435364,5.0,B07S764D9V
umap,10000,237,-2.7613454,-0.05765146,4.0,B00B20M8CU
umap,10000,238,2.4621735,-1.8007709,5.0,B0C2PTV9ZW
umap,10000,239,3.4549747,0.17026046,5.0,B07X4854MR
umap,10000,240,5.2394395,4.1966896,5.0,B0BBMN8HMM
umap,10000,241,0.6613877,-0.6265405,1.0,B09CFY36RN
umap,10000,242,4.2897797,3.8446987,5.0,B08FZPS1N1
umap,10000,243,5.8106246,1.359165,5.0,B00L1KFWSI
umap,10000,244,1.8154409,0.23268405,1.0,B00007AP2O
umap,10000,245,2.5814407,1.7105483,5.0,B00KMFN8E8
umap,10000,246,4.962689,1.0964638,5.0,B004WX0XP8
umap,10000,247,-0.8580506,-0.633907,1.0,B0BVY4JVNG
umap,10000,248,7.3362074,4.1066737,5.0,B075X8471B
umap,10000,249,7.57869,4.37534,5.0,B01D2WRSF2
umap,10000,250,-0.20373163,-4.9170637,5.0,B0C2BVCBRV
umap,10000,251,6.151847,-1.7429152,5.0,B0BBFFXWVH
umap,10000,252,-1.2372195,3.515068,4.0,B0997HW4JP
umap,10000,253,1.1072196,4.129463,5.0,B0B19M78LS
umap,10000,254,-1.9224021,-3.083724,5.0,B092D3LR5M
umap,10000,255,-2.0476253,-3.0938158,5.0,B08SW8DMM5
umap,10000,256,-1.954479,-3.1147516,5.0,B08K3FS8VJ
umap,10000,257,6.008345,-1.7923316,5.0,B08LYQ7MBZ
umap,10000,258,2.8551137,-1.3175457,5.0,B08G56K774
umap,10000,259,6.160031,-1.7788914,5.0,B089DZNCZJ
umap,10000,260,-0.4082521,2.3599598,5.0,B09Y37DKJV
umap,10000,261,-0.74965686,-1.6795557,5.0,B08CKSDF3M
umap,10000,262,2.7225294,-1.5078006,5.0,B09CYHT3VK
umap,10000,263,-5.055501,0.36150897,4.0,B08735Q7LS
umap,10000,264,2.6815302,-1.559078,5.0,B08NPZ574Z
umap,10000,265,-0.39872253,-3.8621993,5.0,B085M686ST
umap,10000,266,0.043907993,-5.2655363,4.0,B082CJ19WL
umap,10000,267,-1.3904622,-4.159721,5.0,B081STV3XJ
umap,10000,268,2.2876248,-1.1053059,5.0,B095LLDH4H
