cluster,cluster_size,rating,parent_asin,asin,outlier_score,text_len,title,text
-1,192074,4.0,B0BYJ2QF1D,B01BIJY5U2,,80,Does the job,"Good,  but I docked it one star as the arm did not have a firm click into place."
-1,192074,5.0,B00DGRUY3M,B00NH13O7K,,20,Five Stars,It's good experience
-1,192074,4.0,B00A83I8G2,B00A83I8G2,,50,Fast charge,It charges fast but it does get hot while charging
-1,192074,1.0,B00NQ5M9J6,B00NQ5M9J6,,536,High Gloss not Matte,"Ordered a Matte replacement screen for my CF53 toughbook and recieved a glossy screen. I work outside on construction sites so the glossy screen is definitely going to be an issue. Unfortunately for me the screen was installed before I removed the protective film. It irritates me that I had to pay extra for ""Matte"" and not even get the benefit of recieving the correct screen. For whatever reason it won't let me reach out to the manufacturer and only gives me the option to return which I cant do until the correct screen is received"
-1,192074,4.0,B0B98Y9B2J,B002ODIE54,,101,Great product.,Great upgrade over the stock tips. My only complaint is that the tips collect ear wax pretty quickly.
-1,192074,5.0,B09CCWDG37,B09CCWDG37,,68,FITS my ipad Pro,its for me and i love that it fit so nicely now my ipad is protected
5,729,5.0,B01G8JO5F2,B01G8JO5F2,0.0,285,THESE HEADPHONES ARE THE BOMB,"These headphones are great! They are of excellent quality and the sound is amazing. The battery life is great and I highly recommend them. They come with several accessories, a case, extra ear pieces and they adjust to your ears to be comfortable. Like I said, I HIGHLY RECOMMEND THEM!"
5,729,5.0,B0B62FJF1J,B01L7PWBRG,0.0324009184602942,291,Great sound and very comfortable,"Just as the reviews I read, these earbuds are very comfortable and have the (always) great Bose sound.  However - as the reviews also point out - the battery life is not great - maybe 6 hours depending on volume and manipulation.  The more frequent charging is worth it for the sound though."
5,729,5.0,B0170RBJ9Q,B0170RBJ9Q,0.0333002382854082,774,"Fantastic fidelity, full range, high to low.  BEST earbuds I own.","Every once in a while you stumble  onto a product that is a GREAT value. This is one of them. I'm not a fan of over-the-ear  headphones because I find them hot and uncomfortable, especially when pressing on my ears. All the earbuds I'd tried were just mediocre in sound quality. Most had a ""muffled"" sound quality. Some were just tinny sounding (too much treble). These are AMAZING but you MUST choose the right rubber inserts. It comes with different sizes and, again, you MUST find the ones that seal properly to your ear canal to truly enjoy the great fidelity. I recently used these on a 6 hr airplane flight and watched a movie. The sound was fantastic and it cut out much of the jet engine roar. Just purchased a second ""backup"" set. Great value for the price charged."
5,729,5.0,B0B21DLSYP,B0B21DLSYP,0.0247821180040646,321,Clear sound and stays in my ears,"These are great! I've had several pairs of earbuds lately, some were okay but these have been just what I needed. The sound quality is pretty good.  It also has the wrap around the ears which helps the earbuds stay in place. Whe on the phone call I can hear clearly and have been told that I can be heard clearly as well."
5,729,3.0,B09S6ZWPS5,B018APC4LE,0.0238990025604013,181,Just okay.,"For the price, they are great bluetooth headphones-- however, the ear pieces themselves are bulky on my ears and I am constantly adjusting them to stay put and they fall out easily."
5,729,5.0,B08FMNPJ65,B08FMNPJ65,0.0,236,Surprisingly good headphones,"I didn’t have high expectations for these headphones considering the price, but I was pleasantly surprised that the audio quality was pretty good and they are comfortable in the ear. If you lose them, there are four more to choose from!"
13,711,5.0,B07P9V8GSH,B00M55C0NS,0.0,7,Five Stars,Love it
13,711,5.0,B00R9ELNOM,B00R9ELNOM,0.0,7,Five Stars,Love it
13,711,5.0,B01H8VPC56,B01H8VPC56,,7,Sturdy,Love it
13,711,5.0,B07H32DFR1,B07H32DFR1,,9,Love It!!,Love It!!
13,711,5.0,B018W930VQ,B018W930VQ,0.0,7,Five Stars,love it
13,711,5.0,B01K8B8YA8,B01DFKC2SO,,7,Five Stars,love it
19,695,5.0,B005VGOC70,B005VGOC70,0.0,5,Great,Great
19,695,5.0,B00BONB8FS,B004WODP20,0.0,5,Five Stars,Great
19,695,5.0,B000V2H136,B000V1PXL4,0.0,5,Five Stars,great
19,695,5.0,B0B1VWCFXZ,B09G9DT2KW,,9,Excellent,Excellent
19,695,5.0,B0BHZ1GDVT,B00NH11PEY,,5,Five Stars,Great
19,695,4.0,B005Y37HRM,B003FOWIXK,,5,Four Stars,great
3,547,5.0,B00HSMK59E,B00HSMK59E,0.0,635,Way more channels than expected.,"This antenna works better than expected.  I get over 30 channels which is much more than TVFool.com indicated was possible, they gave about 10 possible channels with a set top antenna and I am getting channels down into the red category.  The antenna is mounted on a south facing wall next to a window and nearly all of the broadcast antennas are directly south of me.  I didn't lose any channels when putting it on the wall so I didn't want to block the window unnecessarily.  There are some evergreens about 50ft south of the window and some more trees that will get leaves in the spring so we'll see if the signal strength degrades."
