cluster,size,mean_rating
-1,192074,4.222528817018441
5,729,4.513031550068587
13,711,4.960618846694796
19,695,4.9352517985611515
3,547,4.016453382084095
9,466,4.969957081545064
1,376,4.2686170212765955
2,375,4.576
12,370,4.602702702702703
4,347,4.60806916426513
10,337,4.878338278931751
14,324,4.962962962962963
7,320,4.734375
6,268,4.850746268656716
15,259,4.06949806949807
11,242,4.760330578512397
17,231,4.9393939393939394
8,223,4.623318385650224
21,219,4.744292237442922
18,215,4.9581395348837205
16,210,4.914285714285715
0,209,4.794258373205742
20,207,4.681159420289855
