point_id,cluster,outlier_score,rating,parent_asin,asin,x,y
0,-1,,3.0,B083NRGZMM,B083NRGZMM,-0.15479213,0.094357915
1,-1,,1.0,B07N69T6TM,B07N69T6TM,-0.018562935,-0.13906789
2,-1,,5.0,B01G8JO5F2,B01G8JO5F2,-0.4532832,0.20777337
3,-1,,5.0,B001OC5JKY,B001OC5JKY,-0.04589136,0.4252426
4,-1,,5.0,B07CJYMRWM,B013J7WUGC,-0.48046023,-0.019539237
5,-1,,5.0,B07CML419K,B072DSHKCH,-0.2258293,0.18809983
6,-1,,5.0,B07BHHB5RH,B07BHHB5RH,-0.3614,-0.18189242
7,-1,,5.0,B09S6Y5BRG,B07BND376H,-0.50953954,-0.14662418
8,-1,0.9999991482416951,5.0,B01LW71IBJ,B002HWRZ2K,0.060214996,0.08724999
9,-1,,5.0,B017T99JPG,B00WK47VEW,0.06944825,-0.18030456
10,3,0.011833909467092297,1.0,B00L0YLRUW,B00L0YLRUW,-0.10036712,-0.237887
11,-1,,3.0,B01HHURN3W,B00CB7W1GG,0.14585322,-0.09551242
12,-1,,5.0,B004S2JX7W,B004S2JX7W,-0.43528306,-0.0322444
13,-1,,3.0,B0047T79VS,B0047T79VS,-0.1247784,-0.14292838
14,-1,,5.0,B00IXNUDG2,B00IXNUDG2,0.024838187,-0.008792745
15,-1,,5.0,B00PVCXB4Y,B00PVCXB4Y,0.021917216,-0.22771049
16,-1,,5.0,B00X5C22SS,B00TYFCJ8S,-0.03028614,-0.13017055
17,-1,,5.0,B0BKQZGST4,B007Y2YVHU,-0.23135722,0.33199272
18,-1,,5.0,B01LQF8B7G,B01LQF8B7G,0.14955103,0.27102277
19,-1,,4.0,B075X8471B,B00ZV9RDKK,0.17434356,0.08988082
20,-1,,5.0,B0B2DLVCF3,B08C78SQPM,0.1217643,0.02229074
21,-1,,5.0,B0199HAOAU,B014I8UQJY,0.027922418,-0.11289609
22,-1,,5.0,B0093162RM,B0093162RM,-0.017894022,-0.09518423
23,-1,,5.0,B07FCZY1ZB,B07FCZY1ZB,-0.21517134,-0.15210474
24,-1,,5.0,B00RH29CJO,B00RH29CJO,-0.1262841,-0.18502711
25,-1,,5.0,B08P3VMW76,B01976K5B6,-0.036404826,0.41797563
26,-1,,5.0,B013KPXNSW,B013KPXNSW,0.11937951,0.20305009
27,-1,,4.0,B0862W5BQ8,B001PL3XJS,0.019880418,-0.05801808
28,-1,,5.0,B004XC6GJ0,B004XC6GJ0,0.078056216,-0.22296658
29,-1,,5.0,B0BNX9QVXZ,B07V1SQ966,0.11120742,0.075936206
30,-1,,5.0,B0BN534JBB,B07Q9MJKBV,-0.3645853,-0.08327474
31,-1,,5.0,B08X4R1T16,B07PQ334GJ,-0.32019097,0.20627096
32,-1,,5.0,B08932J7NC,B07ZK3M6XK,-0.3175044,-0.20639706
33,-1,,5.0,B078LLS33F,B078LLS33F,-0.10907928,-0.045393556
34,-1,,5.0,B00V3KLZSW,B00V3KM73E,-0.04437264,0.14847146
35,-1,,5.0,B012ASFKOU,B012ASFKOU,-0.2562887,0.07595731
36,-1,,4.0,B001FWYGJS,B001FWYGJS,0.05503627,-0.26377258
37,-1,,5.0,B08YP2F6VG,B00CPZJP7M,0.051699135,0.21932942
38,-1,,5.0,B0C8HDXFXN,B07TVSLDND,0.103897005,-0.20676725
39,-1,,5.0,B00RBGYGPG,B00RBGYGPG,0.13733265,-0.17440799
40,-1,,5.0,B007EVDJV0,B007EVDJV0,0.028728899,-0.025491472
41,-1,,5.0,B00KLZLBCK,B000EY5F5C,0.15949973,-0.056473035
42,-1,,5.0,B09NHSGWPD,B07RJHQSGB,0.013254806,0.27458608
43,-1,,1.0,B095KHWNLK,B095KHWNLK,0.19789997,0.021727748
44,-1,,5.0,B08BRJ98H3,B07PGRR6QN,0.032056667,-0.026465759
45,-1,,5.0,B08912RRG5,B07TZJ1CMC,-0.055277713,0.07194985
46,-1,,5.0,B07GVWH35S,B00DI89SLS,-0.073989905,-0.07515443
47,-1,,5.0,B06VTQK7CB,B06VTQK7CB,-0.059032306,0.42316356
48,-1,,1.0,B0776DSP7Y,B0776DSP7Y,0.18964323,0.14166902
49,-1,,2.0,B00NWXM5U0,B00N2BVOUE,0.008393221,0.015953273
50,-1,,5.0,B01DDIAX1Q,B00EVVGAFI,0.24213156,-0.2309134
51,-1,,2.0,B00L49X8E6,B00L49X8E6,0.1531807,-0.06791337
52,-1,,5.0,B09HDZ8FQY,B005HS5MKS,-0.47113478,0.017503455
53,-1,,5.0,B00PQBDQPO,B00PQBDQPO,0.0064329803,0.42361134
54,-1,,5.0,B00CRF9V2O,B00CRF9V2O,-0.22561038,-0.13329388
55,-1,,5.0,B00BHC7ZTE,B00BHC7ZTE,-0.18410042,-0.19281504
56,-1,,4.0,B00852JEPW,B00852JEPW,0.107868,0.006458536
57,-1,,2.0,B09ZTXZ1MQ,B07YB8HZ8T,0.14659722,-0.029592428
58,-1,,5.0,B09MYGF318,B06XJ1YZSH,-0.1723772,-0.1611413
59,-1,,1.0,B07VV6TT69,B072MBPWMV,0.006831318,0.08796233
60,-1,,5.0,B07BRHB8C1,B01EMYUOLE,-0.051762976,0.1457484
61,-1,,5.0,B07Z6BPJXQ,B0714NB5TL,0.1889689,-0.22211257
